,Sample,FileName,Wavelength,Intensity,Normalized
0,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,415,145120050,0.06865808402463792
1,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,424,160245917,0.0758143181041569
2,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,432,152439168,0.07212084894671617
3,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,441,115316053,0.05455744575793352
4,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,450,195646681,0.0925628558096523
5,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,459,175907887,0.0832241891195773
6,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,468,192744152,0.09118963357078215
7,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,477,179613922,0.08497755994895786
8,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,486,280536695,0.13272536756502099
9,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,495,342053425,0.16182969062211036
10,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,504,892518714,0.4222616024413841
11,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,513,1528989407,0.7233837307704023
12,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,521,1893607161,0.8958888835112314
13,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,530,2002580272,0.9474454052424752
14,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,539,2027433655,0.9592038470174781
15,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,548,2113662973,1.0
16,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,557,1878301885,0.888647768822887
17,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,566,1757038331,0.8312764870485339
18,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,575,1466175353,0.6936656277414952
19,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,584,1340208898,0.6340693455484021
20,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,593,1145844636,0.5421132179713876
21,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,602,992369492,0.46950223601234464
22,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,610,808502149,0.38251233017176006
23,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,619,737426187,0.3488854166534146
24,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,628,606250002,0.28682434699583487
25,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,637,528032349,0.24981861145561166
26,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,646,432480841,0.20461201550319252
27,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,655,467388347,0.22112718677028176
28,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,664,311777324,0.14750569413508857
29,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,673,240076545,0.11358317199418529
30,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,682,154089919,0.07290183958764934
31,FAD,FAD10mM_3p_66fov_740ex_410_695nm_9step_40xW.lsm,691,256984806,0.12158267864022426
0,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,415,1,7.116910919049409e-07
1,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,424,4,2.8467643676197634e-06
2,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,432,9,6.4052198271444675e-06
3,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,441,26,1.8503968389528464e-05
4,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,450,65,4.625992097382116e-05
5,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,459,183,0.00013023946981860417
6,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,468,451,0.00032097268244912834
7,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,477,854,0.0006077841924868194
8,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,486,9460,0.006732597729420741
9,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,495,51085,0.036356739429963904
10,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,504,236706,0.16846155160045093
11,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,513,564726,0.40191046356710963
12,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,521,929126,0.66125069745727
13,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,530,1240702,0.8829965611086439
14,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,539,1405104,1.0
15,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,548,1393618,0.9918255161183799
