,Sample,FileName,Wavelength,Intensity,Normalized
0,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,415,6734,0.05454088946844096
1,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,424,22090,0.17891420379534612
2,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,432,35129,0.2845213700826942
3,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,441,47697,0.38631375185272177
4,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,450,65403,0.529720492115302
5,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,459,76247,0.617549628645711
6,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,468,80617,0.6529437015558813
7,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,477,77378,0.6267099710853913
8,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,486,83740,0.6782379097248658
9,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,495,72881,0.5902872832416759
10,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,504,97603,0.7905189240849781
11,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,513,123467,1.0
12,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,521,121525,0.9842711007799655
13,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,530,89755,0.7269553807900087
14,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,539,83034,0.6725197826139778
15,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,548,109224,0.884641240169438
16,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,557,64137,0.5194667401005937
17,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,566,56744,0.4595883920399783
18,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,575,42708,0.3459061935577928
19,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,584,39521,0.32009362825694315
20,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,593,34264,0.27751544947232865
21,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,602,31163,0.25239942656742287
22,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,610,28976,0.23468619145196692
23,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,619,27822,0.22533956441802264
24,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,628,29290,0.23722938113018052
25,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,637,26824,0.21725643289299976
26,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,646,33646,0.27251006341775535
27,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,655,72607,0.5880680667708781
28,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,664,76418,0.6189346141074134
29,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,673,10465,0.08475949039014473
30,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,682,13,0.00010529129241011768
31,PCA,PCA_DTT_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,691,119,0.0009638202920618465
0,PCA,PCA_TCEP_try1_20p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,415,0,0.0
1,PCA,PCA_TCEP_try1_20p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,424,0,0.0
